Issue,Resolution
Branch plant for trigger to Boost and SFDC,"('2000MAIN','4451MAIN','2007MAIN','4453MAIN','3501MAIN','3520MAIN','4006MAIN','4050MAIN','4100MAIN','4200MAIN','4255MAIN','4360MAIN','4400MAIN','4258MAIN','4301MAIN','7751MAIN','3506MAIN','7740MAIN','7735MAIN')"
Sales Acknowledgement POR failed,The post Processor job R59R0051_BXAP0008  will copy the Order Number to F5947011. AIP will check the order number in this table and verify it with F47046/47 and then send Achmowledgement to Intercompany EMEA. In our case the Post processor job took more time and did not update the Order Number In 47046 and F47047. Hence Acknowledgement report POR is getting failed.
Cancel the Bulk Request,"to cancel the bulk request. First go to P4600, select line click on row Bulk Pick Request.Then click on Form and click remove consolidation. Same has to be done in the P594617 as well. First do it in P594617 and then in the Pick Request"
Location Detail Not Found,Location Detail not found.. Please run the report R46995. please run with Branch plant and Number WareHouse TaskF4611 PTSK.. Run on Branch plant and Tak number.
SZ Orders with INV Adjustment,Issue raised by shelley Piper.  SZ  orders are going to ERROR. Orders are not created. The Reason is that the INV Adjustment is not successful. If you check the Table R47121 and F47122. Check  if the Lot is on Hold. Check if Item Number Exist.. R47121 BXAP0002  will create INV Trabnsactions. R47011 BXAP0001 will create SO orders.
UDC Creation,https://baxch-bxhsa-prod1-internal.pegacloud.net/prweb/PRAuth/app/DefaultPortalGlobal_/UY7fOtaWV2dIYhcMSAHY1g*/!STANDARD?pyActivity=Data-Portal.ShowDesktop&pzHarnessID=HID041CCE708E83E46EBBEA0F6FD28F25BA
UDC Creation  59M RC,UDC EBD SYSTEM Electronic Batch Document Application 59M/RC
Orders stuck at 591,If order is stuck at 591 the the report R42565 BXAPAU04 will take it ahead. it is because the Sold To /Ship To is marked as EDI in Cat codes of Custoomer Master. Mostly system will check EDI for Ship To in Customer Master Cat Codes. If on running it is giving no data selected check table F49211. Give the order Number and get the scheduled Pick date. If the data is there it means it is coming from Consolidated Invoice set up.. the set up is in P554223. Also please check the Customer Sets P42430. System will check the Forwarded to in custoimer set and pass it on in the P554223 in related to Customer field. Order status should not be 591 if the Customer is found on this application. Order Management--Order to Cash Set up--Consolidated Invoice Set UP
schema for APAC,Data Base JDE9AP  Schema APDTA
Sales Update,R42800 BXAP0097
,If the Search Type is CA for Sold To then Order type cannot be SO.. It is for internal Purpose onle.. Order type should be SA.
,Check if the Revenue Business Unit is not blank or incorrect.
GTN Issue or Goods Transfer Note Issue,"For Goods Transfer Note issue of India, Please check P4600 and give the request number from PDF header  in the batch number field of F4600. Check ig the from alocation and To Loaction is correct or not."
Phrmacy orders or Merlin Interface,"For Pharmacy orders the inventory is created by report R47121_BXAP0002  
EDI Activity to Transfer Inventory. It has the transaction set of 852.EDI  Document type is SZ and Document type  DCTO is I3 . In F47011/12 the translation format EDFT is PHORDER , Transaction Set EDST is 850, EDI DOC type EDST is SZ"
PHE Pacific Commerce,"Data is coming from PHE to JDE and uploded in F47011/12. Translation Set EDST is ORDERS , Translation Format EDFT is R850E00C, Document Type is SZ  Also Order Type is SZ. Try checking the Customer PO given by PHE team in Reference 1. Check EDOC 28189546 as a Reference."
Trade connect,From Trade connect the data comes up in F5947011 from AIP. R59R0245|BXAPIN01 will run and data will flow to F47011 and then Again the report R47011|BXAPIN01 will update the F4201 and F4211. Check the Trade connect number in Ref 2. Please check EDOC 387562 as reference.. EDOC type is CF
 Sales order not created by R47011,"If the order is not getting created by R47011,, check the status in F47012.. It should not 522 , it means the Order Qty is not in the multiple of Shipping UOM.  Please check R47911 BXAP8008T. Also check if the Line type created is ER. That is error line type."
Data not going in EBD  Electronic Batch Distribution .. ,Please check the Supplemental data base for the Item in @2.. In this we need to add the Line for 07.. Check for the item CCCITBUFEX for @2
ASN Post Processer,R59R0153
,AGB Interface   Jde to Saitech. AFV interface. Check if any exceptions on AIP side
Error Line Type ER,ER Line type. Please check if there is Availability. If the UOM is correct.. If the Item Branch plant exist.. If the Stocling type is not Obsolete
In correct Location,Order is created with Incorrect Location that was not entered bu user.  Go to BP  constants- Location Defination-- Ware House control-- Receiving Location
Purchase order lines are not visible.,Purchase orders are created but lines are not visible. Check the processing option Of P4310 Self service Tab. If it is activated then it can be viewed by Supplier as well.
How to close the waves. Remove Wave Number from Workbench..,Please check the Wave in P594602. select and Go inside and click the option of Wave Open and Save it. After that please check the same in p5946013  bxap0002
Pan Number and GST GSTN number,It is defined in Whos Who. Check type code as and GSTN
Home care  DAR number. R55R0034  KCAPNZ02 report is blank,P5900019 enter the order Number-Get the DAR number in the Order History Details. In order to calculate the DAR number first check the CLIni Care of application P5900100.  Enter the CCO number in the Clinic care of and check for both Primary contact and all Contacts.. Go inside check the RX Flag /DAR field. It should be N or Y. should not be N/A.
Manifest   external transport software tool (Transvirtual),"P5504215   check by keeping the date blank. Click All Transactions and Summary Lines. Connote Number is Shipment Number. When report R55R0044 will run the data can be seen in the table F5504215. In AIP the Interface name is Carrier Manifest p2P Interface_856CME1R.  Source ID is P5504215. Give both MNSHPN  Shipment number and MNUKID numbers to AIP to check. If the data is processed from AIP but not found in Transvirtual, please check with PACCOM Team. Data will be send from AIP to PHE. PACCOM will convert the raw data to the format required by Transvirtual. Please send email to the team PACCOM - Support <Support@pacificcommerce.com.au>; isuru.hettigoda@pacificcommerce.com.au"
DAR report not  generating for Whakatane CCO No 69617238,Please check the AC26 in customer master Cat codes. It should ne NA. It could ue Y or N. Y means calculate Price and N is do not calculate Price. Dar field is also available when Order calcuation History.  From the Clinic care of Information go to Order calculation History from Form Menu. Find by patient or Order and Order History details at the bottom. Dar field is available. It picks from Customer Master only.
,If the order is OK/D then it is Travelling Patient drop Ship orders. No Related sales order would be created.Related order type in such cases will be SX or SU
Mercury Invoices,Mercury team may give some Delivery Note. In the delivery note Customer Order Reference is mentioned in detail section in last coloum something like P317977. Enter this number in F47011 in Reference 1 and get the order Number. Else try to give this number in Customer PO in sales Order Screen. This order will be processed in system till 620 and the invoice will be send to the user over the email. Please check for the order 65289553 XU. If order is stuck in 547 there may be chance that system we are getting the error Repricing logic is not applied at least one selected order line. Order status is not updated. In this situation please check the pricing in the adjustment ANZMGDRG with item combination. Pricing would have Expired..
,
Mercury Issue,Item Availability need to generated  in the table F47121/22. We may check via P47120.  Please check if all the lines required are there in the Document number. Else insert the data by R47121_BXAP0002. If Access is not there please apply the Role GMR09FGLC1. VR01 of F47122 is samas VR02 of F47012.
,
CF Create Form Issues,LPD Line Printer Deamon and Spooler server need to restart.
PO Print not received by the Supplier,The Whos who for Supplier be defined as Attention Name in Type Code. Please check 62257258. Alsi in Supplier master Send method should be 3 in EDI information.
Invoice Consolidation Set up  P554223,Baxter Task View--Order Management-- Order to cash set up
DHL  EBOS,"Outbound tables for Purchase order is F5547016 and F5547017 . Once the data is there in these tables based on Purchase  Order Numbers, please check Routing Application. It should be in T3PL status and Container Id should be Populated. Container ID is the EDOC number for 3PL.  William need to check with 3PL and get the error screen shot. In most cases the Item Number is not available in 3 PL. Get it retriggered and then move the order in routing  from T3PL back to TRAN. wait for 10 min for schedular to retrigger the job"
DHL EBOS,Check with Nani baby  or Minali Kathal from AIP.. It may happen that data is not going from AIP to PACCOM. From Paccom lease check with  PACCOM - Support <support@pacificcommerce.com.au> and harpreet.singh@pacificcommerce.com.au. Also could contact on +61 2 9468 3333
DHL Item Number retrigger,"To retrigger the item Master please run R55R0374 BXAPAU04  KCAPAU04. it will get the data from Item Masete and F4104 and updates the table F554110T.   AIP Reads the data where EDSP = Blank and sends to DHL. After the report is run, please wait for 15 min for SP flag to change to Y."
DHL  EBOS,"For Cycle count the data will be inserted to F47122 table by EBOS. From here the report R55R0360 will pick the data and do the Inv Adjustment. Some times the Lines in F47122 will be in error, since lot in F47122 may not be available in JDE. Please check EBOS to send proof of document if the Lot is correct. if it is correct and not exist in jde please ask QA team John to create the Lot. Also check if expiry date is correct. it should be same in CLM and regional Branch Plant. when the Inv adjustment will happen the EDOC document number from F47122. Please check the cardex if the Inv adjestment is done before we run the Report or make changes in the SP flag of F47122. and Document number from Cardex will be same."
,
,
ASN Issue  for DHL and EBOS,"P47030, F47031 F47032"
,"Select ELEDOC, ELLOTN, ELLITM, ELLRP2, IOLOTN, IOLRP2, IOMCU from APDTA.F594126, APDTA.F4108  where ELLOTN= IOLOTN and ELLITM = IOLITM and"
,ELLOTN = '231124B' and ElLITM = 'SC6023'  and ((trim(IOMCU) = '3506WN03') or(trim(IOMCU) = 'CLM')) and ELEDOC = 1115344 ;
Order Cancelled by R47131,If the order is cancelled than please check F55373H1. Please give the Original Shipment number and check the  DF Flag . It would be Y. it means EBOS has asked it to be cancelled or Deleted.
EBOS DHL 3PL Branch Plants,EBOS: 3501WN02 3501WN04 3506WN04
,DHL: 3501WW01 3506WW01
,
Kt Session link for APAC,https://spsites.aws.baxter.com/sites/ap_aro/APAC%20ARO%20Knowledge%20Library/Forms/AllItems.aspx?RootFolder=%2Fsites%2Fap%5Faro%2FAPAC%20ARO%20Knowledge%20Library%2FKT%20Recordings&FolderCTID=0x012000F9FC9F938B57184BA051C050F05F56E4&View=%7B34C8B618%2DD225%2D4EB6%2D90B8%2DE585CC45B85D%7D
,
Days to expire,Please go to P4072 ZJDE0002 and find for APGRADE . Please add for Item and customer Group. Country is AU ans NZ for Baxter and 7AU and 7NZ for Vanative
If Qty changed at Receipt. Quantity Issue at Receipt.,P4216 to Check the SSCC number and Qty. It may come since there is Difference in the Shipping UOM and Transaction UOM.
F594105A  P4105 F4105,Item Cost History  Archeive
,UCC code or UPC Code is found in Storage/Shipping Row Exit from Item Master. If P4216 is ran then only this information will be retrieved from Storage an d Shoipping  to F470371 when running the  ASN report R47032.
OMW Fat Client,P98220W te remove the objects from the Fat Cleint
Subledger error,"Subledger error. This issue comes if the BU defined for Subledger in address book is not having acces to the user.. Mostly the search type should be EX.. Some time if Search type is PJ it means it is being used for Grant. Also the Address book BU should always be 4999MAIN, since all APAC users have access to 4999MAIN"
Intercompany Orders set Up,If Vantive PO to Baxter Supplier = OY
,if Vantive PO to Vantive Supplier = OK
,if Baxter PO to Baxter Supplier = OK
,If Baxter PO to Vantive Supplier = OY
RMA Issues,R400502 BXAPAU02  . Please check if the Related Order is received in same Branch plant or if the Quantity is mismatch between SK and Related OK Order.
RMA Issues,"Order S7, S8, S3 : These orders do not have sales to Customer and no AR. So Create RMA 1R.  It will Bring Inventory.  Manage Material Returm RMA -- Create RMA CRR."
,To reverse SO order use RMA 2R. It will create both OM order and CO order..  Manage Credit for Material Returm RMA
Credit Hold C1 Hold,If orders are getting removed from C1 hold then it may be done by Schedular R59R0589. The Release code would be AR that is Auto Release.
Update the Scheduled Invoice Date,Please Use P42040 BXAP9999 to update the Invoice Date and then use R42565 KCAPAU06 to do invoicing
,
,
620 stuck order corrections,Adjustment Branch plant Document No
,I3+ 3520GSP2 26299147     I3 AU_GSP_NZ_BP_CORRECTION
, 
,IA- 3520GSP2 201070     IA AU_GSP_NZ_BP_CORRECTION
, 
, 
,IA+ 3501GSP2 55833      IA AU_GSP_NZ_BP_CORRECTION
, 
,I3- 3501GSP2 26299190    I3 AU_GSP_NZ_BP_CORRECTION
,
APAC Business Hierarchies,Baxter Task View--Master Data--Item Master/Item Branch-APAC Reporting Hierarchy.  Check for Sales State STR
4232 Dmaai error,If order is stuck at 580 due to R49700  for cycle billing. It may give the DMAAI error since the GL class code for the dmaai 4232 would be picked from Customer master and not from the Item Branch.Check for the stup from Customer Master.
Order stuck at 590 591. Consolidated Invoices,Consolidation is driven by Ship TO. If consolidatied Invoices used to do Invoice at EOM then Ship To Cat code should be blank.Entry should be there in F48211 at Scheduled date should be there.Also set up should be available in P554223.Order status should be at 590.Order status should not be 591.SX order is not in consolidation.If order is stuck at 580 due to R49700  for cycle billing. It may give the DMAAI error since the GL class code for the dmaai 4232 would be picked from Customer master and not from the Item Branch. Check for the stup from Customer Master.
SQL Access Database,JDE SQL Access Data Base:    global\sp-ora-349422-PROD-JDE9AP-Read
ASN Issue P5847200_ ZBX0001,Kidney Co Task View--Warehouse Management--AU NSW WN04-EDI Interface - EBOS--PO Outbound and Receipt Inbound
BAM Issue from Rishita Das,To check X7 and X2 levels. Please go to P59MD018. enter the Item Number
Invoices are not available in Therefore there fore,"Check the report 5542566 BXAPAU02, BXAPAU21. these will run and data is transferred to Global Escape from Create form Server. It would be stored in C dive. Global escape will transfer them from C Drive to Therefore"
What is therfore,"It is technology to save the PDF. It is a software to save the documents and manage them. It would save all the Invoices, PO Prints and Pick Slips. It would save it for 6 months."
What is Globalscape,it is software company to Manage the file transfer from one system to other systems.
What is Datastage,"Data Stage is a Data integration tool to integrate large volume of data. If the data is being transferred from JDE to SFDC at fixed time in a day, then it is done via Data Stage. If it is done in real time then it would be Table Trigger."
